Rank,Final Taxonomy for Funguild,OTU ID ,taxonomy,Taxon,Taxon Level,Trophic Mode,Guild,Confidence Ranking,Growth Morphology,Trait,Notes,Citation/Source
216,"Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae",OTU290,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae,Chaetomiaceae,9,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Dung Saprotroph-Endophyte-Epiphyte-Plant Saprotroph-Wood Saprotroph,Possible,Microfungus,Soft Rot,"Saprobic, acting as key decay organisms of plant materials and plant-derived commodities (Cannon & Kirk 2007); Epiphyte detection method-culture (Massimo et al. 2015); Endophyte detection method-culture (Busby et al. 2016, David et al. 2016); Likely opportunistic human pathogen (Irinyi et al. 2015)","Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; Bills GF, et al. 2013. Current Opinion in microbiology, 16:549-565; Tedersoo L, et al. 2014. Science 346:1256688; Irinyi L, et al. 2015. Medical Mycology 53:313-337; Massimo NC, et al. 2015. Microbial Ecology 70:61-76; Busby PE, et al. 2016. New Phytologist 209:1681-1692; David AS, et al. 2016. Microbial Ecology 71:912-926"
217, Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; sordariomyceta; Sordariomycetes; Hypocreomycetidae; Hypocreales,OTU244,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales,Hypocreales,7,Saprotroph,Undefined Saprotroph,Possible,Microfungus,NULL,NULL,"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158"
218,Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina,OTU93,k__Fungi;p__Ascomycota,-,-,-,-,-,-,-,Unassigned,-
219,"Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Septoglomus_jasnowskae",OTU327,k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Septog__Glomus_jasnowskae,Glomeraceae,9,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,NULL,NULL,NULL,"Redecker D, et al. 2013. Mycorrhiza 23:515-531"
220,"Fungi,Basidiomycota,Agaricomycetes",OTU402,k__Fungi;p__Basidiomycota;c__Agaricomycetes,-,-,-,-,-,-,-,Unassigned,-
221,"Fungi,Ascomycota,Dothideomycetes,Pleosporales",OTU4070,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales,-,-,-,-,-,-,-,Unassigned,-
222,Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina,OTU254,k__Fungi;p__Ascomycota,-,-,-,-,-,-,-,Unassigned,-
223,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Conocybe_17357,unk",OTU294,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Bolbitiaceae;g__Conocybe_17357;unk,Conocybe,13,Saprotroph,Undefined Saprotroph,Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:1256688"
224,Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina,OTU439,k__Fungi;p__Ascomycota,-,-,-,-,-,-,-,Unassigned,-
225,"Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus_20482,unk",OTU246,k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Rhizophagus_20482;unk,Rhizophagus,13,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,NULL,NULL,NULL,"Redecker D, et al. 2013. Mycorrhiza 23:515-531"
226,Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; sordariomyceta; Sordariomycetes; Hypocreomycetidae; Hypocreales; Nectriaceae; Lasionectria,OTU287,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Lasionectria,Lasionectria,13,Saprotroph,Undefined Saprotroph,Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:1256688"
227,Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; sordariomyceta; Sordariomycetes; Xylariomycetidae; Xylariales; Xylariales incertae sedis; Monosporascus,OTU260,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Xylarialesincertaesedis;g__Monosporascus,Monosporascus,13,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,http://www.apsnet.org/publications/commonnames/Pages/default.aspx
228,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinellus_17364,unk",OTU289,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae;g__Coprinellus_17364;unk,Psathyrellaceae,9,Saprotroph,Dung Saprotroph-Plant Saprotroph-Wood Saprotroph,Probable,Agaricoid,NULL,"Saprobic, in grass, on dung, rotten wood and similar substrata (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge"
229,"Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium_953,Chaetomium_jodhpurense_328056",OTU58,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Chaetomium_953;Chaetomium_jodhpurense_328056,Chaetomium,13,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Dung Saprotroph-Endophyte-Epiphyte-Plant Saprotroph-Wood Saprotroph,Possible,Microfungus,Soft Rot,"Saprobic, acting as key decay organisms of plant materials and plant-derived commodities (Cannon & Kirk 2007); Epiphyte detection method-culture (Massimo et al. 2015); Endophyte detection method-culture (Busby et al. 2016, David et al. 2016); Likely opportunistic human pathogen (Irinyi et al. 2015)","Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; Bills GF, et al. 2013. Current Opinion in microbiology, 16:549-565; Tedersoo L, et al. 2014. Science 346:1256688; Irinyi L, et al. 2015. Medical Mycology 53:313-337; Massimo NC, et al. 2015. Microbial Ecology 70:61-76; Busby PE, et al. 2016. New Phytologist 209:1681-1692; David AS, et al. 2016. Microbial Ecology 71:912-926"
230,Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina,OTU272,k__Fungi;p__Ascomycota,-,-,-,-,-,-,-,Unassigned,-
231,Fungi; Fungi incertae sedis; Mucoromycota; Glomeromycotina; Glomeromycetes; Glomerales; Glomeraceae; Kamienskia; Kamienskia_divaricata,OTU3688,k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Kamienskia;Kamienskia_divaricata,Glomeraceae,9,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,NULL,NULL,NULL,"Redecker D, et al. 2013. Mycorrhiza 23:515-531"
232,Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina,OTU301,k__Fungi;p__Ascomycota,-,-,-,-,-,-,-,Unassigned,-
233,Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; dothideomyceta; Dothideomycetes; Pleosporomycetidae; Pleosporales; Massarineae,OTU1279,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales,-,-,-,-,-,-,-,Unassigned,-
234,"Fungi,Ascomycota,Eurotiomycetes,Onygenales,Onygenaceae,Auxarthron_468,Auxarthron_pseudoreticulatum",OTU277,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__Onygenaceae;g__Auxarthron_468;Auxarthron_pseudoreticulatum,Onygenaceae,9,Saprotroph,Dung Saprotroph-Soil Saprotroph,Probable,Microfungus,NULL,"Generally saprobic and keratinophilic, in soil or coprophilous, occasionally found on hair or horn (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge"
235,"Fungi,Ascomycota,Sordariomycetes",OTU279,k__Fungi;p__Ascomycota;c__Sordariomycetes,-,-,-,-,-,-,-,Unassigned,-
236,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Tulostoma_19339,unk",OTU401,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae;g__Tulostoma_19339;unk,Tulostoma,13,Saprotroph,Soil Saprotroph,Probable,Gasteroid,NULL,Common name - stalked puffball,"Grgurinovic CA, Simpson JA. 2001. Fungal Diversity 8:97-127; Tedersoo L, et al. 2014. Science 346:1256688"
237,Fungi; Dikarya; Ascomycota,OTU256,k__Fungi;p__Ascomycota,-,-,-,-,-,-,-,Unassigned,-
238,"Fungi,Basidiomycota,Agaricomycetes",OTU4616,k__Fungi;p__Basidiomycota;c__Agaricomycetes,-,-,-,-,-,-,-,Unassigned,-
239,"Fungi,Ascomycota,Dothideomycetes,Pleosporales",OTU4316,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales,-,-,-,-,-,-,-,Unassigned,-
240,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Tulostoma_19339,unk",OTU358,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae;g__Tulostoma_19339;unk,Tulostoma,13,Saprotroph,Soil Saprotroph,Probable,Gasteroid,NULL,Common name - stalked puffball,"Grgurinovic CA, Simpson JA. 2001. Fungal Diversity 8:97-127; Tedersoo L, et al. 2014. Science 346:1256688"
241,Fungi; Fungi incertae sedis; Zoopagomycota,OTU275,k__Fungi;p__Zoopagomycota,-,-,-,-,-,-,-,Unassigned,-
242,Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; Eurotiomycetes; Eurotiomycetidae,OTU224,k__Fungi;p__Ascomycota;c__Eurotiomycetes,-,-,-,-,-,-,-,Unassigned,-
243,Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina,OTU414,k__Fungi;p__Ascomycota,-,-,-,-,-,-,-,Unassigned,-
244,Fungi; Fungi incertae sedis; Mucoromycota; Glomeromycotina; Glomeromycetes; Glomerales; Glomeraceae; Kamienskia; Kamienskia_divaricata,OTU4223,k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Kamienskia;Kamienskia_divaricata,Glomeraceae,9,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,NULL,NULL,NULL,"Redecker D, et al. 2013. Mycorrhiza 23:515-531"
245,Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; sordariomyceta; Sordariomycetes; Sordariomycetidae; Sordariales; Chaetomiaceae; Subramaniula; Subramaniula thielavioides,OTU179,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Subramaniula;Subramaniulathielavioides,Subramaniula,13,Saprotroph,Undefined Saprotroph,Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:1256688"
246,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae",OTU1880,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Marasmiaceae,Marasmiaceae,9,Pathotroph-Saprotroph-Symbiotroph,Endophyte-Plant Pathogen-Undefined Saprotroph,Probable,Agaricoid,NULL,"Species in Moniliophthora are devastating pathogens of tree crops, causing witches broom disease; Saprobic on litter and dead wood, or parasitic on woody plants - often one of the most prominent fungal components of tropical forests, playing a major role in nutrient cycling (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; David AS, et al. 2016. Microbial Ecology 71:912-926"
247,Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; dothideomyceta; Dothideomycetes; Pleosporomycetidae; Pleosporales; Massarineae,OTU293,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales,-,-,-,-,-,-,-,Unassigned,-
248,Fungi; Dikarya; Basidiomycota; Agaricomycotina; Agaricomycetes,OTU259,k__Fungi;p__Basidiomycota;c__Agaricomycetes,-,-,-,-,-,-,-,Unassigned,-
249,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Lepiota_17938,unk",OTU261,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae;g__Lepiota_17938;unk,Lepiota,13,Saprotroph,Soil Saprotroph,Probable,Agaricoid,NULL,NULL,"Grgurinovic CA, Simpson JA. 2001. Fungal Diversity 8:97-127; Tedersoo L, et al. 2014. Science 346:1256688"
250,Fungi; Fungi incertae sedis; Mucoromycota; Mucoromycota incertae sedis; Calcarisporiellales; Calcarisporiellaceae,OTU285,k__Fungi;p__Mucoromycota;c__Mucoromycotaincertaesedis;o__Calcarisporiellales;f__Calcarisporiellaceae,-,-,-,-,-,-,-,Unassigned,-
251,"Fungi,Ascomycota,Dothideomycetes,Pleosporales,Lentitheciaceae,Keissleriella_2553,unk",OTU304,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Lentitheciaceae;g__Keissleriella_2553;unk,Keissleriella,13,Saprotroph,Undefined Saprotroph,Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:1256688"
252,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Stropharia_18613,Stropharia_coronilla_232954",OTU267,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Strophariaceae;g__Stropharia_18613;Stropharia_coronilla_232954,Stropharia coronilla,20,Saprotroph,Soil Saprotroph,Probable,Agaricoid,NULL,NULL,"Grgurinovic CA, Simpson JA. 2001. Fungal Diversity 8:97-127"
253,"Fungi,Glomeromycota,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus_542406,unk",OTU615,k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Claroideof__Glomeraceae;g__Claroideog__Glomus_542406;unk,Glomeraceae,9,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,NULL,NULL,NULL,"Redecker D, et al. 2013. Mycorrhiza 23:515-531"
254,"Fungi,Ascomycota,Sordariomycetes,Hypocreales",OTU2543,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales,Hypocreales,7,Saprotroph,Undefined Saprotroph,Possible,Microfungus,NULL,NULL,"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158"
255,"Fungi,unk",OTU2340,k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Fungi_sp,-,-,-,-,-,-,-,Unassigned,-
256,"Fungi,unk",OTU404,k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Fungi_sp,-,-,-,-,-,-,-,Unassigned,-
257,"Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Arthrobotrys_7217,unk",OTU297,k__Fungi;p__Ascomycota;c__Orbiliomycetes;o__Orbiliales;f__Orbiliaceae;g__Arthrobotrys_7217;unk,Arthrobotrys,13,Saprotroph,Undefined Saprotroph,Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:1256688"
258,"Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Cercophora_906,unk",OTU130,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Cercophora_906;unk,Cercophora,13,Saprotroph,Dung Saprotroph,Highly Probable,NULL,NULL,NULL,"Bell A. 1983. Dung Fungi: An Illustrated Guide to Coprophilous Fungi in New Zealand. Victoria University Press, Wellington"
259,"Fungi,Ascomycota,Dothideomycetes,Pleosporales,dummy_family_Periconia,Periconia_9263,unk",OTU203,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__dummy_family_Periconia;g__Periconia_9263;unk,Periconia,13,Pathotroph-Saprotroph-Symbiotroph,Endophyte-Plant Pathogen-Wood Saprotroph,Possible,Microfungus,Soft Rot,"Dark Septate Endophyte, known from plant roots (Mandyam et al. 2010); Endophyte Host - Asteraceae, Musaceae (Costa et al. 2012)","Duncan CG, Eslyn WE. 1966. Mycologia 58:642-645; Costa IPMW, et al. 2012. Mycotaxon 119:26; Mandyam K, et al. 2012. Mycorrhiza 22:109-119; Knapp DG, et al. 2012. PLOS ONE 7:e32570; http://www.apsnet.org/publications/commonnames/Pages/default.aspx"
260,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Psathyrella_18378,unk",OTU270,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae;g__Psathyrella_18378;unk,Psathyrella,13,Saprotroph,Wood Saprotroph,Probable,Agaricoid,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:1256688"
261,"Fungi,Ascomycota,Eurotiomycetes",OTU271,k__Fungi;p__Ascomycota;c__Eurotiomycetes,-,-,-,-,-,-,-,Unassigned,-
262,"Fungi,unk",OTU311,k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Fungi_sp,-,-,-,-,-,-,-,Unassigned,-
263,"Fungi,unk",OTU303,k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Fungi_sp,-,-,-,-,-,-,-,Unassigned,-
264,"Fungi,Ascomycota,Dothideomycetes,Pleosporales,Montagnulaceae",OTU2738,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Montagnulaceae,Montagnulaceae,9,Pathotroph-Saprotroph,Fungal Parasite-Plant Pathogen-Undefined Saprotroph,Probable,Microfungus,NULL,"Species in this clade can be saprobic, plant pathogenic, or mycoparasitic (Zhang et al. 2009) ","Zhang Y, et al. 2009. Studies in Mycology 64:85-102 "
265,"Fungi,Basidiomycota,Agaricomycetes,unk",OTU291,k__Fungi;p__Basidiomycota;c__Agaricomycetes;unk,-,-,-,-,-,-,-,Unassigned,-
266,"Fungi,Ascomycota,Dothideomycetes,Capnodiales",OTU512,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales,-,-,-,-,-,-,-,Unassigned,-
267,"Fungi,unk",OTU370,k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Fungi_sp,-,-,-,-,-,-,-,Unassigned,-
268,"Fungi,Basidiomycota,Agaricomycetes,Agaricales",OTU206,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales,Agaricales,7,Pathotroph-Saprotroph-Symbiotroph,Bryophyte Parasite-Dung Saprotroph-Ectomycorrhizal-Fungal Parasite-Leaf Saprotroph-Plant Parasite-Undefined Saprotroph-Wood Saprotroph,Possible,Agaricoid-Gasteroid-Microfungus-Secotioid-Yeast,NULL,"Mushrooms and toadstools, Gill fungi, Agarics... lignicolous, sometimes muscicolous or fungicolous, saprobic, mycorrhizal, rarely parasitic on plants or fungi (Kirk et al. 2008)","Kirk PM et al. 2008. Dictionary of the Fungi. Tenth Edition. CAB International, Wallingford"
269,"Fungi,unk",OTU278,k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Fungi_sp,-,-,-,-,-,-,-,Unassigned,-
270,"Fungi,Ascomycota,Dothideomycetes,Pleosporales",OTU2252,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales,-,-,-,-,-,-,-,Unassigned,-
271,"Fungi,Basidiomycota,Agaricomycetes,Agaricales",OTU369,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales,Agaricales,7,Pathotroph-Saprotroph-Symbiotroph,Bryophyte Parasite-Dung Saprotroph-Ectomycorrhizal-Fungal Parasite-Leaf Saprotroph-Plant Parasite-Undefined Saprotroph-Wood Saprotroph,Possible,Agaricoid-Gasteroid-Microfungus-Secotioid-Yeast,NULL,"Mushrooms and toadstools, Gill fungi, Agarics... lignicolous, sometimes muscicolous or fungicolous, saprobic, mycorrhizal, rarely parasitic on plants or fungi (Kirk et al. 2008)","Kirk PM et al. 2008. Dictionary of the Fungi. Tenth Edition. CAB International, Wallingford"
272,"Fungi,Basidiomycota,Agaricomycetes,Corticiales,Corticiaceae",OTU298,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Corticiales;f__Corticiaceae,Corticiaceae,9,Pathotroph-Saprotroph,Lichen Parasite-Plant Pathogen-Wood Saprotroph,Possible,Corticioid-Microfungus,NULL,Saprobes or pathogens on a wide range of mainly woody substrata; a few species are lichenicolous and some are grass pathogens (Cannon & Kirk 2007),"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge"
273,"Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium_953,unk",OTU4289,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Chaetomium_953;unk,Chaetomium,13,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Dung Saprotroph-Endophyte-Epiphyte-Plant Saprotroph-Wood Saprotroph,Possible,Microfungus,Soft Rot,"Saprobic, acting as key decay organisms of plant materials and plant-derived commodities (Cannon & Kirk 2007); Epiphyte detection method-culture (Massimo et al. 2015); Endophyte detection method-culture (Busby et al. 2016, David et al. 2016); Likely opportunistic human pathogen (Irinyi et al. 2015)","Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; Bills GF, et al. 2013. Current Opinion in microbiology, 16:549-565; Tedersoo L, et al. 2014. Science 346:1256688; Irinyi L, et al. 2015. Medical Mycology 53:313-337; Massimo NC, et al. 2015. Microbial Ecology 70:61-76; Busby PE, et al. 2016. New Phytologist 209:1681-1692; David AS, et al. 2016. Microbial Ecology 71:912-926"
274,"Fungi,Glomeromycota,Glomeromycetes",OTU236,k__Fungi;p__Glomeromycota;c__Glomeromycetes,Glomeromycota,3,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,NULL,NULL,NULL,"Redecker D, et al. 2013. Mycorrhiza 23:515-531"
275,"Fungi,Ascomycota,Sordariomycetes,Hypocreales,dummy_family_Acremonium,Acremonium_7028,Acremonium_persicinum_308180",OTU423,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__dummy_family_Acremonium;g__Acremonium_7028;Acremonium_persicinum_308180,Acremonium,13,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Fungal Parasite-Plant Pathogen-Wood Saprotroph,Possible,Microfungus,Soft Rot,"Endophyte detection method-culture (Hanada et al. 2010, Del Olmo-Ruiz & Arnold 2014); Likely opportunistic human pathogen (Irinyi et al. 2015)","Duncan CG, Eslyn WE. 1966. Mycologia 58:642-64; Nilsson T. 1973. Studies on wood degradation and cellulolytic activity of microfungi. No. 104; Worrall JJ, et al. 1997. Mycologia 89: 199-219; Hanada RE, et al. 2010. Fungal Biology 114:901-910; Del Olmo-Ruiz M, Arnold AE. 2014. Mycologia 106:8-21; Tedersoo L, et al. 2014. Science 346:1256688; Irinyi L, et al. 2015. Medical Mycology 53:313-337"
276,"Fungi,Glomeromycota,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus_542406,unk",OTU412,k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Claroideof__Glomeraceae;g__Claroideog__Glomus_542406;unk,Glomeraceae,9,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,NULL,NULL,NULL,"Redecker D, et al. 2013. Mycorrhiza 23:515-531"
277,"Fungi,Basidiomycota,Agaricomycetes",OTU149,k__Fungi;p__Basidiomycota;c__Agaricomycetes,-,-,-,-,-,-,-,Unassigned,-
278,"Fungi,unk",OTU310,k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Fungi_sp,-,-,-,-,-,-,-,Unassigned,-
279,"Fungi,Ascomycota,Leotiomycetes,Erysiphales,Erysiphaceae,Blumeria_600,Blumeria_graminis_309596",OTU300,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Erysiphales;f__Erysiphaceae;g__Blumeria_600;Blumeria_graminis_309596,Blumeria,13,Pathotroph,Plant Pathogen,Probable,Microfungus,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:1256688"
280,"Fungi,unk",OTU242,k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Fungi_sp,-,-,-,-,-,-,-,Unassigned,-
281,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Conocybe_17357,Conocybe_deliquescens_521941",OTU47,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Bolbitiaceae;g__Conocybe_17357;Conocybe_deliquescens_521941,Conocybe,13,Saprotroph,Undefined Saprotroph,Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:1256688"
282,"Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Rhizoctonia_9725,unk",OTU436,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Ceratobasidiaceae;g__Rhizoctonia_9725;unk,Rhizoctonia,13,Saprotroph-Pathotroph-Symbiotroph,Orchid Mycorrhizal-Plant Pathogen-Wood Saprotroph,Probable,NULL,Soft Rot,"Only symbiotic (perhaps leaning parasitic) in special cases with orchids, otherwise typically a plant pathogen.","Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Costa IPMW, et al. 2012. Mycotaxon 119:26; Tedersoo L, et al. 2014. Science 346:1256688; List compiled by Sara Branco with input from Nhu Nguyen and Else Vellinga; http://www.apsnet.org/publications/commonnames/Pages/default.aspx"
283,"Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium_8284,Fusarium_solani_190352",OTU328,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium_8284;Fusarium_solani_190352,Fusarium,13,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Soil Saprotroph-Wood Saprotroph,Possible,Microfungus,NULL,Likely opportunistic human pathogen (Irinyi et al. 2015),"Duncan CG, Eslyn WE. 1966. Mycologia 58:642-664; Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Costa IPMW, et al. 2012. Mycotaxon 119:26; Tedersoo L, et al. 2014. Science 346:1256688; Irinyi L, et al. 2015. Medical Mycology 53:313-337; Schroers et al. 2016. Mycologia 108:806-819; http://www.apsnet.org/publications/commonnames/Pages/default.aspx; Lawrey JD, Diederich P. 2016. URL: http://www.lichenicolous.net [24 May 2017]"
